index_action	index_pros	index_cons	object_name	index_name	type_desc	indexed_columns	included_columns	filter_definition	is_primary_key	is_unique	is_disabled	has_unique	partition_number	fill_factor	is_padded	size_in_mb	buffered_mb	table_buffered_mb	buffered_percent	row_count	user_total_pct	estimated_user_total_pct	missing_index_impact	user_total	user_seeks	user_scans	user_lookups	user_updates	read_to_update_ratio	read_to_update	update_to_read	row_lock_count	row_lock_wait_count	row_lock_wait_in_ms	row_block_pct	avg_row_lock_waits_ms	page_latch_wait_count	avg_page_latch_wait_ms	page_io_latch_wait_count	avg_page_io_latch_wait_ms	tree_page_latch_wait_count	avg_tree_page_latch_wait_ms	tree_page_io_latch_wait_count	avg_tree_page_io_latch_wait_ms	read_operations	leaf_writes	leaf_page_allocations	leaf_page_merges	nonleaf_writes	nonleaf_page_allocations	nonleaf_page_merges	duplicate_indexes	overlapping_indexes	related_foreign_keys	related_foreign_keys_xml	key_columns	data_columns
---	UQ, $		[dbo].[FdcValidClockingData]	FdcValidClockingDataKey	UNIQUE CLUSTERED	[EmployeeNumber], [ShiftDate], [TimeSequence], [MinuteSequence], [FieldSequence]	NULL	NULL	1	1	0	1	1	0	0	384.07	127.48	127	33.19	2849703	100.00	100.00	0	1005035	1005035	0	0	126174	7.96546832152424429	1	0	253031	0	0	0.00	NULL	1	0.00	12352	9.51	0	0.00	2510	10.15	1002684	126174	5082	0	110594	13	0	NULL	NULL	NULL	NULL	[EmployeeNumber], [ShiftDate], [TimeSequence], [MinuteSequence], [FieldSequence]	ALL-COLUMNS
---			[dbo].[PayEmployeeMaster]	--MISSING INDEX--	NONCLUSTERED	[PayrollPeriod], [LeaverIndicator]	[EmployeeNumber], [HolidayWeeks], [PaymentMethod], [EmployeeSuspended], [PeriodGrossPay], [PeriodNetPay], [YtdLastPeriod], [AllowedMultiplePay]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	54.11	4503.97	461	461	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PayEmployeeMaster]	--MISSING INDEX--	NONCLUSTERED	[PayrollPeriod], [YtdLastPeriod], [EmployeeSuspended], [LeaverIndicator], [PeriodNetPay]	[EmployeeNumber], [PaymentMethod], [AllowedMultiplePay], [BacsRandomCode]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	44.13	14032.32	376	376	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PayEmployeeMaster]	--MISSING INDEX--	NONCLUSTERED	[PayrollPeriod], [LeaverIndicator]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.53	127.66	13	13	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PayEmployeeMaster]	--MISSING INDEX--	NONCLUSTERED	[PayrollPeriod], [LeaverIndicator]	[EmployeeNumber], [HolidayWeeks], [EmployeeSuspended], [YtdLastPeriod]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.23	22.32	2	2	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PayEmployeePensionScheme]	--MISSING INDEX--	NONCLUSTERED	[PayrollYearPeriod], [PensionCode]	[EmployeeNumber], [EmployeesValue], [EmployersValue], [AVCValue], [CurrEmployeeAmount], [CurrEmployerAmount], [CurrAVCAmount], [CurrEmployeeRebate], [CurrEmployerRebate], [YTDEmployeeAmount], [YTDEmployerAmount], [YTDAVCAmount], [YTDEmployeeRebate], [YTDEmployerRebate], [MthEmployeeAmount], [MthEmployerAmount], [MthAVCAmount], [MthEmployeeRebate], [MthEmployerRebate], [CumEmployeeAmount], [CumEmployerAmount], [CumAVCAmount], [CumEmployeeRebate], [CumEmployerRebate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	100.00	103.29	3	3	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [JoiningDate], [LeavingDate], [Suspended], [AccessLevel]	[EmployeeNumber], [FullName], [Surname], [PersonnelStatus], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	47.18	5339880	252000	252000	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [JoiningDate], [LeavingDate], [Suspended]	[EmployeeNumber], [PersonnelStatus]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42.93	6923834.98	229342	229342	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[PersonnelStatus], [LeavingDate]	[EmployeeNumber], [KnownAs], [FullName], [EMail]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.94	1793414.49	37077	37077	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [LeavingDate], [AccessLevel]	[EmployeeNumber], [FullName], [Suspended], [ExcludeFromOtRec], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.21	183468.9	6483	6483	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
