RunTime	DBNAME	ObjectName	ObjectID	Improvement_Measure	CREATE_INDEX_Statement	user_seeks	user_scans	last_user_seek	last_user_scan	avg_total_user_cost	avg_user_impact	avg_system_impact	index_group_handle	index_handle
2017-03-18 13:21:02.023	QPulse5	ReferenceListItem	1332199796	210368.8	CREATE INDEX missing_index_85_84 ON [QPulse5].[dbo].[ReferenceListItem] ([ListTypeID]) INCLUDE ([ID], [ParentID], [Name], [SortOrder], [AdditionalColumns], [CalculatedPath], [IsVisible])	988	0	2017-03-17 16:47:07.427	NULL	2.56442088158991	83.03	0	85	84
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	80130.8	CREATE INDEX missing_index_48_47 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([ID], [DocumentID], [Title], [Keywords])	1741	0	2017-03-18 12:02:39.737	NULL	0.899115200306212	51.19	0	48	47
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	70711.0	CREATE INDEX missing_index_50_49 ON [QPulse5].[dbo].[Revision] ([StatusID])	1397	0	2017-03-18 12:02:39.173	NULL	0.517390850556148	97.83	0	50	49
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	69764.5	CREATE INDEX missing_index_217_216 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID],[ImplementByDate]) INCLUDE ([DocumentID])	1336	0	2017-03-17 15:57:41.447	NULL	0.544741982272351	95.86	0	217	216
2017-03-18 13:21:02.023	QPulse5	Permission	738101670	66752.3	CREATE INDEX missing_index_39_38 ON [QPulse5].[dbo].[Permission] ([ObjectFunctionID])	13050	0	2017-03-18 11:50:56.857	NULL	0.0594711709834042	86.01	0	39	38
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncidentStage	1236199454	65885.6	CREATE INDEX missing_index_209_208 ON [QPulse5].[dbo].[OccurrenceIncidentStage] ([OwnerPersonID], [ClosedDate],[TargetDate])	317	0	2017-03-17 10:44:57.243	NULL	2.10344004994963	98.81	0	209	208
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	55468.3	CREATE INDEX missing_index_80_79 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([DocumentID], [Title], [Keywords])	1271	0	2017-03-18 12:02:39.507	NULL	0.763096394664762	57.19	0	80	79
2017-03-18 13:21:02.023	QPulse5	ReferenceListItem	1332199796	49536.4	CREATE INDEX missing_index_7331_7330 ON [QPulse5].[dbo].[ReferenceListItem] ([ListTypeID],[IsVisible]) INCLUDE ([ID])	195	0	2017-03-16 10:44:06.117	NULL	3.10819570303232	81.73	0	7331	7330
2017-03-18 13:21:02.023	QPulse5	IncidentStage	693577509	44905.2	CREATE INDEX missing_index_207_206 ON [QPulse5].[dbo].[IncidentStage] ([OwnerPersonID], [ClosedDate],[TargetDate])	843	0	2017-03-17 11:59:14.357	NULL	0.575500745156362	92.56	0	207	206
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	39782.6	CREATE INDEX missing_index_599_598 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID],[ReviewDate]) INCLUDE ([ID], [DocumentID])	754	0	2017-03-17 15:57:40.750	NULL	0.79377348708316	66.47	0	599	598
2017-03-18 13:21:02.023	QPulse5	Person	2137058649	39298.5	CREATE INDEX missing_index_36_35 ON [QPulse5].[dbo].[Person] ([UserName])	2576	0	2017-03-18 11:50:56.443	NULL	0.156419732264666	97.53	0	36	35
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	35058.5	CREATE INDEX missing_index_220_219 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID],[ReviewDate]) INCLUDE ([DocumentID])	668	0	2017-03-17 15:57:41.250	NULL	0.674326517503444	77.83	0	220	219
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	31675.6	CREATE INDEX missing_index_225_224 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID]) INCLUDE ([ID])	612	0	2017-03-17 15:57:41.380	NULL	0.528245051589759	97.98	0	225	224
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	31481.0	CREATE INDEX missing_index_212_211 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID]) INCLUDE ([ID], [DocumentID])	609	0	2017-03-17 15:57:40.940	NULL	0.836861781320441	61.77	0	212	211
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	29634.5	CREATE INDEX missing_index_52_51 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([ID], [DocumentID])	572	0	2017-03-17 15:57:40.890	NULL	0.931641845856479	55.61	0	52	51
2017-03-18 13:21:02.023	QPulse5	Incident	405576483	28256.7	CREATE INDEX missing_index_449_448 ON [QPulse5].[dbo].[Incident] ([Number],[ID])	225	0	2017-03-17 08:36:29.743	NULL	1.25975985866486	99.69	0	449	448
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	24492.9	CREATE INDEX missing_index_597_596 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID],[ReviewDate])	465	0	2017-03-17 15:57:40.690	NULL	0.531674631683915	99.07	0	597	596
2017-03-18 13:21:02.023	QPulse5	IncidentStage	693577509	17914.2	CREATE INDEX missing_index_150_149 ON [QPulse5].[dbo].[IncidentStage] ([OwnerPersonID], [ClosedDate])	343	0	2017-03-18 03:11:14.973	NULL	0.743456973707667	70.25	0	150	149
