ServerName,TheDate,TheTime,WaitType,Requests,Wait Time(ms), Wait Time (ms)/sec, Signal Wait Time (ms), Signal Wait Time (ms)/sec
KUKN0016,2017-03-18,14:15:00,WRITELOG,486528785,96016,0.320,3349,0.011
KUKN0016,2017-03-18,14:15:00,ASYNC_NETWORK_IO,24202742,2257,0.008,13,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_WAITFORSINGLEOBJECT,1436306,1556,0.005,0,0.000
KUKN0016,2017-03-18,14:15:00,SOS_SCHEDULER_YIELD,51514691,145,0.000,141,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_AUTHENTICATIONOPS,2879316,125,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,787367,40,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_LOOKUPACCOUNTSID,234721,34,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,MSQL_XP,26885,16,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_GETPROCADDRESS,26885,15,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PAGEIOLATCH_SH,1838763,12,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PAGEIOLATCH_UP,209961,11,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_DELETESECURITYCONTEXT,918518,11,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_QUERYREGISTRY,40269,11,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_CRYPTIMPORTKEY,784803,8,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_AUTHORIZATIONOPS,907798,6,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICY,69402,5,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_REPORTEVENT,94911,4,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICYFREE,69402,2,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_DECRYPTMESSAGE,818203,2,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PAGELATCH_EX,728408,2,0.000,1,0.000
KUKN0016,2017-03-18,14:15:00,PAGEIOLATCH_EX,188249,2,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,IO_COMPLETION,88364,1,0.000,0,0.000
KUKN0016,2017-03-18,14:15:00,PREEMPTIVE_OS_REVERTTOSELF,122432,1,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,WRITELOG,486453494,88049,0.293,5568,0.019
KUKN0016,2017-03-18,14:10:00,ASYNC_NETWORK_IO,24202262,442,0.001,6,0.000
KUKN0016,2017-03-18,14:10:00,SOS_SCHEDULER_YIELD,51510214,316,0.001,308,0.001
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_AUTHENTICATIONOPS,2879018,113,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,787289,36,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_LOOKUPACCOUNTSID,234693,32,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_GETPROCADDRESS,26881,14,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,MSQL_XP,26881,13,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_AUTHORIZATIONOPS,907706,10,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_QUERYREGISTRY,40264,10,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PAGEIOLATCH_UP,209954,9,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_CRYPTIMPORTKEY,784725,8,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_WAITFORSINGLEOBJECT,1436220,7,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_DELETESECURITYCONTEXT,918424,6,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICY,69391,3,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,IO_COMPLETION,88363,3,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_REPORTEVENT,94901,3,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_REVERTTOSELF,122418,2,0.000,0,0.000
KUKN0016,2017-03-18,14:10:00,PREEMPTIVE_OS_DECRYPTMESSAGE,818121,2,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,WRITELOG,486376262,92929,0.310,4278,0.014
KUKN0016,2017-03-18,14:05:00,BACKUPIO,3207516,14158,0.047,93,0.000
KUKN0016,2017-03-18,14:05:00,BACKUPTHREAD,81095,4010,0.013,6,0.000
KUKN0016,2017-03-18,14:05:00,MSQL_XP,26877,708,0.002,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_GETPROCADDRESS,26877,707,0.002,0,0.000
KUKN0016,2017-03-18,14:05:00,ASYNC_NETWORK_IO,24202049,634,0.002,16,0.000
KUKN0016,2017-03-18,14:05:00,SOS_SCHEDULER_YIELD,51506744,242,0.001,229,0.001
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_FILEOPS,43594,162,0.001,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_AUTHENTICATIONOPS,2878750,132,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_GETFILEATTRIBUTES,53340,90,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_LOOKUPACCOUNTSID,234663,50,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,787223,39,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PAGEIOLATCH_EX,188248,33,0.000,1,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_CREATEFILE,26667,28,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_DELETESECURITYCONTEXT,918343,14,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PAGEIOLATCH_UP,209946,13,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_GETVOLUMEPATHNAME,6726,12,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_WAITFORSINGLEOBJECT,1436144,12,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PAGEIOLATCH_SH,1838762,11,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_AUTHORIZATIONOPS,907625,11,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_QUERYREGISTRY,40259,9,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_REPORTEVENT,94891,8,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_CRYPTIMPORTKEY,784659,7,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_GETVOLUMENAMEFORVOLUMEMOUNTPOINT,5256,5,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICY,69385,4,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_GETDISKFREESPACE,11990,2,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_DECRYPTMESSAGE,818050,2,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_DISCONNECTNAMEDPIPE,23774,1,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICYFREE,69385,1,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,IO_COMPLETION,88362,1,0.000,0,0.000
KUKN0016,2017-03-18,14:05:00,PREEMPTIVE_OS_REVERTTOSELF,122403,1,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,WRITELOG,486302482,90828,0.303,3767,0.013
KUKN0016,2017-03-18,14:00:00,ASYNC_NETWORK_IO,24201638,2016,0.007,14,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_AUTHENTICATIONOPS,2878390,270,0.001,0,0.000
KUKN0016,2017-03-18,14:00:00,SOS_SCHEDULER_YIELD,51502175,210,0.001,204,0.001
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,787151,38,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_LOOKUPACCOUNTSID,234615,33,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,MSQL_XP,26858,20,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PAGEIOLATCH_EX,188244,19,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_GETPROCADDRESS,26858,19,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_AUTHORIZATIONOPS,907519,15,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PAGEIOLATCH_UP,209928,14,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_DELETESECURITYCONTEXT,918242,11,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_QUERYREGISTRY,40254,9,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_CRYPTIMPORTKEY,784587,8,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_REPORTEVENT,94876,5,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_WAITFORSINGLEOBJECT,1436057,4,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICY,69375,3,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICYFREE,69375,1,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_DECRYPTMESSAGE,817964,1,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,LCK_M_U,274,1,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,LCK_M_X,1232,1,0.000,0,0.000
KUKN0016,2017-03-18,14:00:00,PREEMPTIVE_OS_REVERTTOSELF,122369,1,0.000,0,0.000
KUKN0016,2017-03-18,13:55:00,WRITELOG,486226057,88199,0.294,3873,0.013
KUKN0016,2017-03-18,13:55:00,ASYNC_NETWORK_IO,24201439,1994,0.007,11,0.000
